Num_Acc;catr;voie;v1;circ;nbv;vosp;prof;pr;pr1;plan;larrout;surf;infra;situ;vma
536537137;3;27;;2;2;0;1;8;700;1;7;1;0;3;70
536537137;3;;;2;2;0;1;24;380;1;-1;1;0;3;80
536537138;2;RN 441;0;3;1;0;1;0;100;1;7;2;0;1;70
536537139;3;7;;3;2;0;1;-1;-1;1;5;1;0;1;70
536537140;1;6B;0;1;2;0;1;4;0;1;-1;1;0;1;90
536537141;3;767;0;3;2;0;1;42;550;2;7;2;0;3;110
536537143;2;RN1014 Y;0;1;3;0;1;0;500;1;-1;2;1;1;70
536537144;2;N118;0;3;2;0;1;5;800;1;-1;1;3;1;50
536537145;3;38;;2;2;0;1;4;700;3;5;1;0;1;50
536537145;3;956;;2;2;0;1;14;200;1;7;1;0;1;50
536537146;1;AUTOROUTE A1;0;3;6;0;1;18;0;1;-1;2;0;1;110
536537147;3;N7;0;2;2;0;1;9;150;3;7;1;0;1;90
536537148;1;AUTOROUTE A15;0;3;8;0;1;15;0;1;-1;1;0;1;110
536537149;3;137;0;3;4;0;1;57;600;1;;1;0;1;110
536537150;3;386;;2;2;0;1;0;0;3;-1;1;5;1;50
536537151;1;86;0;3;3;0;1;30;299;1;14;1;1;1;90
536537152;3;468;;2;2;1;1;60;800;1;;1;0;1;50
536537153;1;A4.W;0;1;3;0;2;21;200;3;14;2;0;1;70
536537154;3;12;;2;2;0;1;29;10;1;;2;0;3;50
536537155;2;21;;3;0;0;2;45;800;1;0;2;0;1;110
536537156;4;HUIT MAI 1945 (BOULEVARD DU);0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537156;4;;0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537158;3;;;2;2;0;1;22;;1;4;2;0;3;80
536537159;4;AVENUE DE LA VICTOIRE H. LAFLEUR;0;3;5;0;1;0;0;1;-1;1;5;1;30
536537159;4;RUE DU DOCTEUR LESCOUR;0;1;2;0;1;0;0;1;-1;1;5;1;30
536537160;3;;;2;-1;0;1;8;430;1;-1;1;0;1;50
536537160;3;;;2;2;0;2;-1;-1;3;;1;0;1;50
536537162;4;ANCIENNE RN2 (2);0;2;2;1;2;0;0;2;-1;1;0;5;50
536537163;4;;;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537164;2;JAURES (BLD 2 JEAN);0;1;2;1;1;8;18;2;-1;1;9;1;50
536537165;3;33;;2;2;0;1;12;0;1;-1;1;0;1;80
536537166;7;PIERRE SEMARD                       (QU);0;2;2;0;1;0;900;1;;2;0;1;50
536537167;3;;0;2;1;0;1;13;380;1;4;2;0;1;30
536537168;3;;0;2;2;0;1;28;830;2;-1;1;0;1;50
536537169;4;BARRE (DE LA)                       (R );0;1;1;2;1;-1;-1;1;-1;1;0;5;30
536537170;3;943;;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537170;3;;;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537171;2;D 82;0;1;2;0;1;0;0;1;-1;1;0;1;90
536537172;1;5;;3;2;0;2;104;500;1;10;1;0;1;130
536537173;3;817;0;2;2;0;1;68;90;1;-1;2;0;1;80
536537175;4;1;0;2;2;0;1;10;8;1;-1;1;0;1;50
536537176;4;;0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537177;3;32;0;2;2;0;2;6;700;4;4;1;0;1;80
536537178;1;10;;3;3;0;1;50;400;1;;1;0;1;130
536537179;3;152;;2;1;0;1;0;442;2;;1;2;1;50
536537180;3;13;0;2;2;0;1;14;410;3;7;2;0;8;80
536537181;3;31;2;3;2;0;1;8;810;1;7;1;0;1;90
536537182;4;;0;2;2;0;1;-1;-1;1;-1;1;0;8;50
536537183;3;932;;2;2;0;1;-1;-1;1;7;2;0;1;50
536537184;2;RN 104;0;1;4;0;1;28;100;1;;1;0;1;90
536537185;2;RN 104;0;3;3;0;2;32;0;1;14;1;0;1;90
536537186;1;AUTOROUTE A6B;0;1;3;0;1;8;300;1;6;1;0;1;90
536537187;1;AUTOROUTE A6;0;2;3;0;1;16;200;1;14;1;0;1;110
536537188;2;RN12;0;1;1;0;1;26;0;1;-1;1;0;1;70
536537189;1;13;0;3;3;0;1;5;400;1;;1;0;1;110
536537190;2;RN12;0;3;2;0;2;25;799;2;;2;0;1;90
536537191;1;4;0;3;4;0;1;7;0;1;-1;1;0;1;90
